short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,5 + 2,0,"€117,827,774","€117,827,774"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,5 + 1,3,"€833,526.30","€2,500,579"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,5 + 0,8,"€176,276.20","€1,410,210"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,4 + 2,38,"€6,121.30","€232,609"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,4 + 1,792,€367.10,"€290,743"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,4 + 0,"1,531",€208.90,"€319,826"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,3 + 2,"1,869",€124.40,"€232,504"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,2 + 2,"22,139",€33.40,"€739,443"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,3 + 1,"35,955",€23.00,"€826,965"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,3 + 0,"89,915",€17.40,"€1,564,521"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,1 + 2,"116,190",€16.80,"€1,951,992"
02.01.2024,Tuesday,"Tuesday, 2nd January 2024","€117,827,774",19 26 36 48 49,10 11,2 + 1,"527,283",€11.10,"€5,852,841"
05.01.2024,Friday,"Friday, 5th January 2024","€120,000,000",11 30 32 45 47,03 10,5 + 2,0,"€120,000,000","€120,000,000"
05.01.2024,Friday,"Friday, 5th January 2024","€120,000,000",11 30 32 45 47,03 10,5 + 1,9,"€2,388,351.90","€21,495,167"
05.01.2024,Friday,"Friday, 5th January 2024","€120,000,000",11 30 32 45 47,03 10,5 + 0,17,"€134,207.60","€2,281,529"
05.01.2024,Friday,"Friday, 5th January 2024","€120,000,000",11 30 32 45 47,03 10,4 + 2,78,"€4,824.80","€376,334"
