short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,5 + 2,0,"€10,000,000","€10,000,000"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,5 + 1,2,"€440,355.50","€880,711"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,5 + 0,3,"€103,613.00","€310,839"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,4 + 2,27,"€3,837.50","€103,613"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,4 + 1,363,€256.80,"€93,218"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,4 + 0,572,€126.70,"€72,472"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,3 + 2,993,€62.60,"€62,162"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,2 + 2,"14,226",€22.50,"€320,085"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,3 + 1,"16,184",€19.20,"€310,733"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,3 + 0,"26,347",€16.90,"€445,264"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,1 + 2,"78,214",€10.30,"€805,604"
02.01.2015,Friday,"Friday, 2nd January 2015","€10,000,000",16 29 38 42 48,05 06,2 + 1,"236,538",€8.30,"€1,963,265"
09.01.2015,Friday,"Friday, 9th January 2015","€13,000,000",13 19 20 27 41,05 09,5 + 2,0,"€13,000,000","€13,000,000"
09.01.2015,Friday,"Friday, 9th January 2015","€13,000,000",13 19 20 27 41,05 09,5 + 1,2,"€441,927.50","€883,855"
09.01.2015,Friday,"Friday, 9th January 2015","€13,000,000",13 19 20 27 41,05 09,5 + 0,1,"€311,948.80","€311,949"
