short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,5 + 2,0,"€15,000,000","€15,000,000"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,5 + 1,3,"€254,435.40","€763,306"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,5 + 0,2,"€51,348.40","€102,697"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,4 + 2,22,"€4,308.90","€94,796"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,4 + 1,292,€257.00,"€75,044"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,4 + 0,371,€127.70,"€47,377"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,3 + 2,"1,093",€61.40,"€67,110"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,2 + 2,"13,571",€23.80,"€322,990"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,3 + 1,"17,292",€16.10,"€278,401"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,3 + 0,"17,257",€16.10,"€277,838"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,1 + 2,"95,743",€9.90,"€947,856"
03.01.2014,Friday,"Friday, 3rd January 2014","€15,000,000",01 16 34 36 37,04 06,2 + 1,"199,826",€9.00,"€1,798,434"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,5 + 2,1,"€17,283,822","€17,283,822"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,5 + 1,4,"€102,267.80","€409,071"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,5 + 0,5,"€21,271.70","€106,359"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,4 + 2,45,"€2,181.70","€98,177"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,4 + 1,426,€182.40,"€77,702"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,4 + 0,551,€89.00,"€49,039"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,3 + 2,"1,791",€38.80,"€69,491"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,2 + 2,"18,416",€18.20,"€335,171"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,3 + 1,"23,421",€12.80,"€299,789"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,3 + 0,"21,521",€12.80,"€275,469"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,1 + 2,"113,381",€8.60,"€975,077"
10.01.2014,Friday,"Friday, 10th January 2014","€17,283,822",08 18 22 33 40,02 08,2 + 1,"244,258",€7.60,"€1,856,361"
17.01.2014,Friday,"Friday, 17th January 2014","€10,000,000",04 07 17 25 29,02 04,5 + 2,0,"€10,000,000","€10,000,000"
17.01.2014,Friday,"Friday, 17th January 2014","€10,000,000",04 07 17 25 29,02 04,5 + 1,3,"€120,140.40","€360,421"
17.01.2014,Friday,"Friday, 17th January 2014","€10,000,000",04 07 17 25 29,02 04,5 + 0,4,"€23,427.30","€93,709"
17.01.2014,Friday,"Friday, 17th January 2014","€10,000,000",04 07 17 25 29,02 04,4 + 2,50,"€1,730.00","€86,500"
17.01.2014,Friday,"Friday, 17th January 2014","€10,000,000",04 07 17 25 29,02 04,4 + 1,550,€124.50,"€68,475"
17.01.2014,Friday,"Friday, 17th January 2014","€10,000,000",04 07 17 25 29,02 04,4 + 0,631,€68.50,"€43,224"
