short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,5 + 2,0,€,€0
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,5 + 1,2,"€193,950.10","€387,900"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,5 + 0,2,"€50,427.00","€100,854"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,4 + 2,30,"€3,103.20","€93,096"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,4 + 1,245,€300.80,"€73,696"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,4 + 0,343,€135.70,"€46,545"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,3 + 2,985,€66.90,"€65,897"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,2 + 2,"12,021",€26.40,"€317,354"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,3 + 1,"15,343",€17.70,"€271,571"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,3 + 0,"15,485",€17.70,"€274,085"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,1 + 2,"87,574",€10.60,"€928,284"
04.01.2013,Friday,"Friday, 4th January 2013",,06 20 29 40 45,05 08,2 + 1,"193,691",€9.10,"€1,762,588"
11.01.2013,Friday,"Friday, 11th January 2013",,06 31 37 41 49,02 03,5 + 2,0,€,€0
11.01.2013,Friday,"Friday, 11th January 2013",,06 31 37 41 49,02 03,5 + 1,0,€0.00,€0
11.01.2013,Friday,"Friday, 11th January 2013",,06 31 37 41 49,02 03,5 + 0,3,"€35,989.00","€107,967"
11.01.2013,Friday,"Friday, 11th January 2013",,06 31 37 41 49,02 03,4 + 2,22,"€4,530.00","€99,660"
11.01.2013,Friday,"Friday, 11th January 2013",,06 31 37 41 49,02 03,4 + 1,241,€327.30,"€78,879"
11.01.2013,Friday,"Friday, 11th January 2013",,06 31 37 41 49,02 03,4 + 0,349,€142.70,"€49,802"
11.01.2013,Friday,"Friday, 11th January 2013",,06 31 37 41 49,02 03,3 + 2,942,€74.90,"€70,556"
11.01.2013,Friday,"Friday, 11th January 2013",,06 31 37 41 49,02 03,2 + 2,"13,312",€25.50,"€339,456"
