short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,5 + 2,0,"€58,084,930","€58,084,930"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,5 + 1,6,"€371,655.70","€2,229,934"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,5 + 0,7,"€179,654.10","€1,257,579"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,4 + 2,37,"€5,606.30","€207,433"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,4 + 1,760,€341.10,"€259,236"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,4 + 0,"1,701",€121.90,"€207,352"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,3 + 2,"1,631",€174.80,"€285,099"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,2 + 2,"23,443",€28.20,"€661,093"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,3 + 1,"34,524",€21.40,"€738,814"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,3 + 0,"77,928",€17.90,"€1,394,911"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,1 + 2,"123,542",€14.10,"€1,741,942"
03.01.2025,Friday,"Friday, 3rd January 2025","€58,084,930",01 20 21 27 29,08 10,2 + 1,"519,896",€10.10,"€5,250,950"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,5 + 2,0,"€67,780,936","€67,780,936"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,5 + 1,1,"€1,752,366.70","€1,752,367"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,5 + 0,4,"€247,063.30","€988,253"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,4 + 2,44,"€3,704.70","€163,007"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,4 + 1,673,€302.70,"€203,717"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,4 + 0,"1,333",€122.20,"€162,893"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,3 + 2,"1,639",€136.70,"€224,051"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,2 + 2,"24,664",€21.00,"€517,944"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,3 + 1,"28,746",€20.20,"€580,669"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,3 + 0,"62,614",€17.50,"€1,095,745"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,1 + 2,"134,912",€10.10,"€1,362,611"
07.01.2025,Tuesday,"Tuesday, 7th January 2025","€67,780,936",01 16 20 23 44,05 09,2 + 1,"431,814",€9.50,"€4,102,233"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,5 + 2,1,€,€0
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,5 + 1,4,"€643,155.20","€2,572,621"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,5 + 0,9,"€161,204.20","€1,450,838"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,4 + 2,51,"€4,692.40","€239,312"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,4 + 1,932,€320.90,"€299,079"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,4 + 0,"2,293",€104.30,"€239,160"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,3 + 2,"2,148",€153.10,"€328,859"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,2 + 2,"28,247",€27.00,"€762,669"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,3 + 1,"40,279",€21.10,"€849,887"
10.01.2025,Friday,"Friday, 10th January 2025",,17 34 38 42 48,02 11,3 + 0,"99,451",€16.20,"€1,611,106"
