short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,5 + 2,5,"€18,000,000","€90,000,000"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,5 + 1,35,"€596,446.70","€20,875,635"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,5 + 0,30,"€37,115.30","€1,113,459"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,4 + 2,237,"€1,566.00","€371,142"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,4 + 1,"3,151",€106.00,"€334,006"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,4 + 0,"4,098",€63.30,"€259,403"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,3 + 2,"6,957",€32.00,"€222,624"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,2 + 2,"76,087",€15.10,"€1,148,914"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,3 + 1,"95,743",€11.60,"€1,110,619"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,3 + 0,"137,185",€11.60,"€1,591,346"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,1 + 2,"347,066",€8.30,"€2,880,648"
06.01.2017,Friday,"Friday, 6th January 2017","€18,000,000",07 14 23 27 35,03 05,2 + 1,"1,102,845",€6.40,"€7,058,208"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,5 + 2,0,"€10,657,316","€10,657,316"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,5 + 1,3,"€483,921.80","€1,451,765"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,5 + 0,5,"€102,477.50","€512,388"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,4 + 2,25,"€6,831.80","€170,795"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,4 + 1,431,€356.60,"€153,695"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,4 + 0,895,€133.50,"€119,483"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,3 + 2,"1,454",€70.40,"€102,362"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,2 + 2,"22,324",€23.70,"€529,079"
13.01.2017,Friday,"Friday, 13th January 2017","€10,657,316",02 21 26 44 45,01 06,3 + 1,"23,120",€22.10,"€510,952"
