short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,5 + 2,1,"€49,685,852","€49,685,852"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,5 + 1,4,"€423,474.30","€1,693,897"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,5 + 0,2,"€298,923.00","€597,846"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,4 + 2,44,"€4,529.10","€199,280"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,4 + 1,618,€290.20,"€179,344"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,4 + 0,"1,012",€137.80,"€139,454"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,3 + 2,"1,946",€61.40,"€119,484"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,2 + 2,"28,874",€21.30,"€615,016"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,3 + 1,"30,216",€19.70,"€595,255"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,3 + 0,"50,290",€17.00,"€854,930"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,1 + 2,"154,105",€10.00,"€1,541,050"
01.01.2016,Friday,"Friday, 1st January 2016","€49,685,852",11 14 35 44 45,05 06,2 + 1,"470,848",€8.00,"€3,766,784"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,5 + 2,0,"€10,000,000","€10,000,000"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,5 + 1,2,"€514,927.70","€1,029,855"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,5 + 0,2,"€181,739.20","€363,478"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,4 + 2,27,"€4,487.30","€121,157"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,4 + 1,419,€260.20,"€109,024"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,4 + 0,708,€119.70,"€84,748"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,3 + 2,"1,611",€45.10,"€72,656"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,2 + 2,"23,778",€16.50,"€392,337"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,3 + 1,"20,842",€16.50,"€343,893"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,3 + 0,"35,518",€14.60,"€518,563"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,1 + 2,"130,001",€7.50,"€975,008"
08.01.2016,Friday,"Friday, 8th January 2016","€10,000,000",01 02 05 24 47,03 08,2 + 1,"303,153",€7.50,"€2,273,648"
15.01.2016,Friday,"Friday, 15th January 2016","€14,576,179",04 23 25 37 39,01 09,5 + 2,0,"€14,576,179","€14,576,179"
15.01.2016,Friday,"Friday, 15th January 2016","€14,576,179",04 23 25 37 39,01 09,5 + 1,1,"€1,080,486.70","€1,080,487"
